,city,date,SO2,O3,NO2,PM10,PM25,avg temp,max temp,min temp,rain,wind,humid
3,경북,2021-09-29,0.0022666666666666,0.0166666666666666,0.0070999999999999,16.333333333333332,10.333333333333334,20.5,23.450000000000003,19.0,13.2,0.55,93.8
4,광주,2021-09-29,0.0032999999999999,0.0203333333333333,0.0142333333333333,19.666666666666668,12.666666666666666,22.7,26.5,21.2,31.2,1.1,97.8
5,대구,2021-09-29,0.0010333333333333,0.0233333333333333,0.0110666666666666,18.666666666666668,13.666666666666666,22.4,27.3,19.8,11.3,1.2,93.9
6,대전,2021-09-29,0.0023333333333333,0.0226666666666666,0.0124,12.333333333333334,8.666666666666666,21.5,23.7,19.5,19.1,1.0,97.0
7,부산,2021-09-29,0.0038333333333333,0.0243333333333333,0.0172333333333333,21.33333333333333,11.333333333333334,24.2,27.8,21.5,18.1,3.1,88.6
8,서울,2021-09-29,0.0024,0.017,0.0152333333333333,13.333333333333334,6.666666666666667,20.2,21.4,17.8,13.1,1.7,93.5
9,울산,2021-09-29,0.0021333333333333,0.0223333333333333,0.0118,19.666666666666668,10.666666666666666,23.5,28.4,19.8,12.9,1.5,91.1
10,인천,2021-09-29,0.0028333333333333,0.0183333333333333,0.0179666666666666,12.666666666666666,7.333333333333333,20.2,21.6,18.4,9.7,3.1,85.5
11,전남,2021-09-29,0.0020666666666666,0.0183333333333333,0.0054666666666666,21.0,11.0,22.6,27.46666666666667,20.766666666666666,38.93333333333333,1.4,94.56666666666668
12,전북,2021-09-29,0.0023333333333333,0.0296666666666666,0.0090666666666666,21.33333333333333,13.666666666666666,21.6,24.066666666666663,19.1,28.23333333333333,1.5333333333333332,90.5
13,제주,2021-09-29,0.0017,0.036,0.009,26.666666666666668,10.666666666666666,26.0,29.35,23.55,6.7,1.4500000000000002,87.44999999999999
14,충남,2021-09-29,0.0032999999999999,0.0289999999999999,0.0071333333333333,16.0,8.666666666666666,20.933333333333334,23.03333333333333,19.166666666666668,26.03333333333333,0.8333333333333334,95.73333333333332
15,충북,2021-09-29,0.0019,0.0186666666666666,0.0116333333333333,16.333333333333332,10.333333333333334,20.266666666666666,22.5,18.633333333333336,23.23333333333333,0.6333333333333333,95.23333333333332
16,강원,2021-09-28,0.0016666666666666,0.0203333333333333,0.0038666666666666,8.666666666666666,2.6666666666666665,20.166666666666668,23.6,17.0,0.5,1.0,81.23333333333333
17,경기,2021-09-28,0.00195,0.0195,0.01445,13.5,5.5,20.066666666666663,24.2,17.8,1.933333333333333,1.5666666666666669,85.89999999999999
18,경남,2021-09-28,0.0026666666666666,0.027,0.0128,15.666666666666666,11.0,21.15,24.8,18.15,0.2,0.65,83.5
19,경북,2021-09-28,0.0025333333333333,0.0216666666666666,0.0069,16.333333333333332,6.666666666666667,20.45,23.9,16.549999999999997,0.0,0.7,81.69999999999999
20,광주,2021-09-28,0.0034666666666666,0.032,0.0112333333333333,18.33333333333333,10.666666666666666,22.7,25.8,20.8,0.3,1.1,83.8
21,대구,2021-09-28,0.0010666666666666,0.03,0.0092666666666666,19.666666666666668,10.333333333333334,21.8,26.0,19.0,NaN,2.0,75.8
22,대전,2021-09-28,0.0024,0.03,0.0117333333333333,12.0,6.666666666666667,22.0,25.8,19.8,0.7,1.6,82.9
23,부산,2021-09-28,0.0037333333333333,0.032,0.0131666666666666,16.333333333333332,7.0,22.4,26.3,20.0,0.0,2.6,77.3
24,서울,2021-09-28,0.0023,0.0183333333333333,0.015,13.0,4.666666666666667,21.5,24.4,19.6,1.3,2.2,75.1
25,울산,2021-09-28,0.0020666666666666,0.03,0.0081,14.333333333333334,6.333333333333333,21.4,25.0,18.3,0.0,1.4,84.8
26,인천,2021-09-28,0.0026666666666666,0.014,0.0237999999999999,11.0,6.0,21.3,23.5,19.9,3.5,2.2,71.0
27,전남,2021-09-28,0.0031,0.0253333333333333,0.0057333333333333,20.0,10.0,22.1,24.83333333333333,19.866666666666667,0.1666666666666666,1.9666666666666663,80.39999999999999
28,전북,2021-09-28,0.0022,0.0246666666666666,0.0090666666666666,21.33333333333333,11.666666666666666,21.9,25.133333333333336,20.266666666666666,1.2666666666666666,1.0333333333333334,79.36666666666666
29,제주,2021-09-28,0.0011333333333333,0.0423333333333333,0.0075666666666666,30.0,13.333333333333334,25.15,28.05,22.9,NaN,2.3,84.9
30,충남,2021-09-28,0.0034666666666666,0.0303333333333333,0.0074,15.0,8.0,21.23333333333333,24.566666666666663,19.366666666666664,0.6666666666666666,1.0,81.3
31,충북,2021-09-28,0.0018666666666666,0.0266666666666666,0.0065999999999999,11.333333333333334,6.0,20.6,24.46666666666667,17.533333333333335,1.4666666666666668,1.1666666666666667,79.66666666666667
32,강원,2021-09-19,0.002,0.0233333333333333,0.0035666666666666,10.0,4.333333333333333,21.0,25.5,17.099999999999998,NaN,1.3,77.96666666666667
33,경기,2021-09-19,0.0019,0.0275,0.0119,12.5,7.0,21.8,26.866666666666664,18.566666666666663,NaN,1.0333333333333334,80.23333333333333
34,경남,2021-09-19,0.0022666666666666,0.031,0.0063666666666666,11.333333333333334,8.0,20.5,27.4,15.25,NaN,0.9,81.75
35,경북,2021-09-19,0.0024333333333333,0.0266666666666666,0.0043333333333333,13.666666666666666,8.0,19.85,26.55,14.9,NaN,0.8999999999999999,81.05
36,광주,2021-09-19,0.0032333333333333,0.0403333333333333,0.0075,15.666666666666666,10.333333333333334,23.5,28.8,19.1,NaN,1.2,77.1
37,대구,2021-09-19,0.0010666666666666,0.0323333333333333,0.006,12.0,8.0,21.7,27.1,17.2,NaN,2.1,76.3
38,대전,2021-09-19,0.0022666666666666,0.0293333333333333,0.0089,9.0,5.333333333333333,22.9,28.2,18.0,NaN,1.3,75.5
39,부산,2021-09-19,0.0049,0.0366666666666666,0.0086,13.666666666666666,5.333333333333333,22.7,27.8,19.4,NaN,2.7,72.5
40,서울,2021-09-19,0.0023333333333333,0.027,0.0101666666666666,11.0,5.0,23.7,27.8,20.8,NaN,1.9,62.9
41,울산,2021-09-19,0.0015666666666666,0.0336666666666666,0.004,11.0,5.0,21.6,25.2,19.5,NaN,2.2,79.3
42,인천,2021-09-19,0.0028,0.027,0.0189666666666666,12.666666666666666,8.333333333333334,24.2,27.6,22.0,0.0,2.0,57.3
43,전남,2021-09-19,0.00345,0.023,0.0052333333333333,18.666666666666668,10.0,22.1,27.53333333333333,17.366666666666664,NaN,1.8,79.8
44,전북,2021-09-19,0.0020333333333333,0.0296666666666666,0.0066333333333333,18.33333333333333,9.666666666666666,22.933333333333337,28.7,18.266666666666666,NaN,1.2333333333333334,75.16666666666667
45,제주,2021-09-19,0.0016666666666666,0.0413333333333333,0.0046333333333333,23.666666666666668,9.333333333333334,24.15,27.1,21.700000000000003,NaN,2.6500000000000004,77.95
46,충남,2021-09-19,0.0033333333333333,0.034,0.0062,15.666666666666666,9.0,21.866666666666664,28.2,16.8,NaN,0.7666666666666666,77.96666666666665
47,충북,2021-09-19,0.0016666666666666,0.0249999999999999,0.0063999999999999,12.333333333333334,6.333333333333333,20.53333333333333,26.933333333333334,15.866666666666667,NaN,0.9666666666666668,75.66666666666667
48,강원,2021-09-22,0.002,0.0463333333333333,0.0030666666666666,9.333333333333334,4.666666666666667,21.933333333333337,26.23333333333333,18.9,5.7,2.566666666666667,64.66666666666667
49,경기,2021-09-22,0.0019,0.048,0.0066,12.0,5.0,19.6,24.9,15.766666666666666,8.3,2.3000000000000003,83.10000000000001
