,시도,측정일시,SO2,O3,NO2,PM10,PM25
0,강원,20140101,0.009135681818181775,0.023676136363636316,0.014602840909090871,111.24621212121212,
1,강원,20140102,0.007581060606060575,0.01895606060606057,0.016049924242424202,50.683712121212125,
2,강원,20140103,0.009411401515151479,0.015013636363636328,0.023753977272727236,62.465530303030306,
3,강원,20140104,0.006176515151515104,0.013977272727272673,0.01997727272727268,58.99242424242424,
4,강원,20140105,0.006096969696969654,0.014954545454545413,0.01831401515151511,45.53030303030303,
5,강원,20140106,0.008413446969696925,0.016175757575757534,0.02001102272727268,63.11893939393939,
6,강원,20140107,0.009856624579124533,0.015713846801346753,0.025609663299663247,79.13922558922559,
7,강원,20140108,0.008985340909090879,0.019765530303030267,0.022052386363636333,79.90113636363635,
8,강원,20140109,0.0038596548821548497,0.028699074074074033,0.00942498316498312,27.633712121212124,
9,강원,20140110,0.006794318181818141,0.02312878787878783,0.016812499999999956,38.14090909090909,
10,강원,20140111,0.008600378787878749,0.020257575757575707,0.022607196969696916,53.85227272727273,
11,강원,20140112,0.011749242424242384,0.023348484848484802,0.02084999999999995,72.37121212121212,
12,강원,20140113,0.005893152356902312,0.02385740740740737,0.01561796717171713,41.474915824915826,
13,강원,20140114,0.00664609848484845,0.021442803030302982,0.01780799242424239,37.41325757575758,
14,강원,20140115,0.007825795454545413,0.021873863636363598,0.01861424242424238,49.47348484848485,
15,강원,20140116,0.010227815656565609,0.01960505050505047,0.023942537878787848,84.80012626262626,
16,강원,20140117,0.0107281439393939,0.016624452861952813,0.026191936026935984,114.68901515151515,
17,강원,20140118,0.009680492424242388,0.025094696969696923,0.017286363636363596,78.26060606060607,
18,강원,20140119,0.0067780303030302545,0.023075757575757517,0.015857954545454495,53.07954545454546,
19,강원,20140120,0.008344170875420833,0.019964814814814772,0.02110742424242419,72.21388888888889,
20,강원,20140121,0.007095070496632949,0.025846727693602658,0.014644644360269339,66.24074074074075,
21,강원,20140122,0.0076381355218854705,0.02543000841750837,0.02137720959595957,80.39423400673401,
22,강원,20140123,0.008331401515151484,0.020449242424242394,0.026074393939393908,67.58257575757575,
23,강원,20140124,0.00802075757575753,0.019166666666666624,0.025433636363636315,62.38636363636363,
24,강원,20140125,0.007846212121212072,0.016833333333333287,0.024155303030302985,48.54924242424243,
25,강원,20140126,0.004560227272727225,0.025329545454545407,0.013784848484848433,39.54924242424242,
26,강원,20140127,0.005991621422558887,0.01709772727272724,0.02169437499999996,48.7530303030303,
27,강원,20140128,0.005956780303030267,0.02434659090909087,0.019150757575757533,41.984848484848484,
28,강원,20140129,0.0067693181818181255,0.018560606060606017,0.02348030303030298,52.871212121212125,
29,강원,20140130,0.00618068181818177,0.02982954545454541,0.017018181818181766,53.05795454545455,
30,강원,20140131,0.005174621212121167,0.023431818181818127,0.013993939393939336,32.08712121212121,
31,강원,20140201,0.006040151515151475,0.016477272727272677,0.01831401515151511,40.63257575757576,
32,강원,20140202,0.005139015151515104,0.02068560606060602,0.017591287878787835,32.86363636363637,
33,강원,20140203,0.003660984848484808,0.027367424242424193,0.009962272727272682,54.628787878787875,
34,강원,20140204,0.0031726273148147753,0.030714709595959563,0.0070520412457912044,34.113731060606064,
35,강원,20140205,0.004596548821548787,0.022707070707070662,0.013182727272727237,43.2182239057239,
36,강원,20140206,0.005237083333333299,0.0209907407407407,0.014868623737373696,38.90361952861953,
37,강원,20140207,0.004242255892255842,0.029182239057239018,0.00877222222222218,20.116161616161616,
38,강원,20140208,0.0026897727272726956,0.03367803030303026,0.006910606060606016,11.469696969696969,
39,강원,20140209,0.0029049242424242084,0.032204545454545416,0.007016666666666629,12.24621212121212,
40,강원,20140210,0.0031864393939393626,0.03333371212121208,0.007193446969696925,20.052272727272726,
41,강원,20140211,0.003127537878787842,0.024656439393939345,0.011672272727272684,20.00340909090909,
42,강원,20140212,0.004242083333333291,0.022928030303030252,0.015298143939393901,23.3875,
43,강원,20140213,0.004125530303030266,0.027426893939393886,0.011970303030303,19.651515151515152,
44,강원,20140214,0.0035574621212120915,0.026104166666666623,0.014218143939393907,22.006481481481483,
45,강원,20140215,0.004691666666666612,0.024477272727272677,0.016115151515151475,32.49886363636364,
46,강원,20140216,0.006699621212121163,0.02259469696969692,0.02228409090909085,60.166666666666664,
47,강원,20140217,0.006038007154882104,0.02912735690235686,0.016800337752525207,62.194476010101006,
48,강원,20140218,0.003721428571428525,0.030221428571428528,0.013276190476190441,26.581746031746032,
49,강원,20140219,0.003469318181818129,0.02634090909090904,0.014898106060606013,30.43939393939394,
50,강원,20140220,0.005203135521885487,0.023720875420875375,0.019216014309764277,57.08076599326599,
51,강원,20140221,0.0057211742424242125,0.028255303030302978,0.020354128787878754,86.95580808080808,
52,강원,20140222,0.006408257575757529,0.030054545454545407,0.0210309848484848,79.58068181818182,
53,강원,20140223,0.006116287878787829,0.030462121212121163,0.01962159090909087,78.34469696969697,
54,강원,20140224,0.009693792087542046,0.02907398989898985,0.02693417508417503,121.625,
55,강원,20140225,0.00925371212121208,0.031137878787878756,0.025596780303030267,152.27007575757577,
56,강원,20140226,0.00777412878787875,0.02635378787878784,0.027346553030302992,130.19507575757575,
57,강원,20140227,0.006775037878787842,0.03137609427609424,0.024310151515151483,105.31515151515151,
58,강원,20140228,0.004843560606060562,0.02924242424242419,0.016812499999999963,85.22348484848484,
59,강원,20140301,0.004024659090909054,0.026215530303030272,0.015529015151515134,53.12159090909091,
60,강원,20140302,0.003213257575757525,0.029992424242424195,0.012356666666666646,30.559848484848484,
